Initialization,step,hits,s10,s15,s20,s25,s30,s35
2021-01-14T00:00:00.000000000,26,5,0,,17.5,12.5,,
2021-01-21T00:00:00.000000000,19,7,,,,,,
2021-01-28T00:00:00.000000000,12,0,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
