Initialization,step,hits,s10,s15,s20,s25,s30,s35
2021-01-04T00:00:00.000000000,36,0,0,0.333,0.166,0,0,0
2021-01-07T00:00:00.000000000,33,0,,,,,,
2021-01-11T00:00:00.000000000,29,0,,,,,,
2021-01-14T00:00:00.000000000,26,0,,,,,,
2021-01-18T00:00:00.000000000,22,1,,,,,,
2021-01-21T00:00:00.000000000,19,0,,,,,,
2021-01-25T00:00:00.000000000,15,1,,,,,,
2021-01-28T00:00:00.000000000,12,0,,,,,,
