Initialization,step,hits,s10,s15,s20,s25,s30,s35
2021-01-04T00:00:00.000000000,36,7.00,0.20,0.20,0.21,0.20,0.19,0.14
2021-01-07T00:00:00.000000000,33,11.00,,,,,,
2021-01-11T00:00:00.000000000,29,8.00,,,,,,
2021-01-14T00:00:00.000000000,26,10.00,,,,,,
2021-01-18T00:00:00.000000000,22,11.00,,,,,,
2021-01-21T00:00:00.000000000,19,10.00,,,,,,
2021-01-25T00:00:00.000000000,15,10.00,,,,,,
2021-01-28T00:00:00.000000000,12,10.00,,,,,,
